product_id,product_name,category,unit_price,cost_price,is_perishable
1072,SNAC-10,Snacks,28.0,18.7,False
1073,SNAC-11,Snacks,22.0,16.48,False
1074,SNAC-12,Snacks,78.0,45.78,False
1075,SNAC-13,Snacks,34.0,23.21,False
1076,SNAC-14,Snacks,67.0,37.08,False
1077,SNAC-15,Snacks,32.0,22.24,False
1078,SNAC-16  ,Snacks,45.0,30.01,False
1079,SNAC-17,Snacks,26.0,20.23,False
1080,SNAC-18,Snacks,25.0,16.25,False
1081,SNAC-19,Snacks,48.0,29.44,False
1082,SNAC-20,Snacks,66.0,40.34,False
1083,BEVE-01,Beverages,61.0,51.18,False
1084,BEVE-02,Beverages,112.0,81.17,False
1085,BEVE-03,Beverages,114.0,80.0,False
1086,BEVE-04,Beverages,66.0,39.53,False
1087,BEVE-05,Beverages,99.0,76.82,False
1088,BEVE-06,Beverages,40.0,28.57,False
1089,BEVE-07,Beverages,70.0,55.59,False
1090,BEVE-08,Beverages,70.0,42.3,False
1091,BEVE-09,Beverages,117.0,77.34,False
1092,BEVE-10,Beverages,72.0,51.03,False
1093,BEVE-11,Beverages,42.0,24.89,False
1094,BEVE-12,Beverages,52.0,33.31,False
1095,BEVE-13,Beverages,56.0,32.08,False
1096,BEVE-14,Beverages,111.0,65.43,False
1097,BEVE-15,Beverages,64.0,51.62,False
1098,BEVE-16,Beverages,90.0,54.81,False
1099,PERS-01,Personal Care,163.0,118.99,False
1100,PERS-02,Personal Care,327.0,265.37,False
1101,PERS-03,Personal Care,368.0,306.62,False
1102,PERS-04,Personal Care,312.0,251.91,False
1103,PERS-05,Personal Care,398.0,305.89,False
1104,PERS-06,Personal Care,209.0,146.17,False
1105,PERS-07,Personal Care,343.0,249.03,False
1106,PERS-08,Personal Care,440.0,363.49,False
1107,PERS-09,Personal Care,337.0,217.33,False
1108,PERS-10,Personal Care,135.0,82.8,False
1109,PERS-11,Personal Care,352.0,262.47,False
1110,PERS-12,Personal Care,385.0,237.7,False
1111,HOUS-01,Household,234.0,142.34,False
1112,HOUS-02,Household,151.0,101.24,False
1113,HOUS-03,Household,107.0,78.38,False
1114,HOUS-04,Household,89.0,58.72,False
1115,HOUS-05,Household,198.0,112.4,False
1116,HOUS-06,Household,313.0,180.78,False
1117,HOUS-07,Household,129.0,95.44,False
1118,HOUS-08,Household,231.0,151.51,False
1119,HOUS-09,Household,220.0,166.12,False
1120,HOUS-10,Household,209.0,168.33,False
